#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  60
# Band-Index:    1
   2.23800    -55.030050  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.21739    -55.029373  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.19678    -55.028708  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.17617    -55.028057  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.15556    -55.027423  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.13495    -55.026806  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.11434    -55.026209  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.09374    -55.025634  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.07313    -55.025080  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.05252    -55.024550  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.03191    -55.024045  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.01130    -55.023566  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.99069    -55.023115  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.97008    -55.022691  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.94948    -55.022296  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.92887    -55.021929  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.90826    -55.021592  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.88765    -55.021284  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.86704    -55.021006  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.84643    -55.020757  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.82582    -55.020537  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.80522    -55.020346  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.78461    -55.020184  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.76400    -55.020048  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.74339    -55.019940  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.72278    -55.019858  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.70217    -55.019801  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.68156    -55.019768  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.66096    -55.019756  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.66096    -55.019756  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.65065    -55.019759  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
